"Species";"Latitude";"Longitude";"Source"
"Dictyota dichotoma";56,65101;-5,99659;"Marinespeed"
"Dictyota dichotoma";59,19645;-2,64515;"Marinespeed"
"Dictyota dichotoma";56,19155;-5,67443;"Marinespeed"
"Dictyota dichotoma";51,64613;-4,85137;"Marinespeed"
"Dictyota dichotoma";59,28098;-2,39577;"Marinespeed"
"Dictyota dichotoma";57,9634;-5,36524;"Marinespeed"
"Dictyota dichotoma";58,03034;-5,41729;"Marinespeed"
"Dictyota dichotoma";37,55;15,15;"Marinespeed"
"Dictyota dichotoma";43,5;16,45;"Marinespeed"
"Dictyota dichotoma";48,03;-4,64;"Marinespeed"
"Dictyota dichotoma";43,33;5,11;"Marinespeed"
"Dictyota dichotoma";42,64;18,1;"Marinespeed"
"Dictyota dichotoma";36,375;-6,208333333;"Marinespeed"
"Dictyota dichotoma";42,05;3,18;"Marinespeed"
"Dictyota dichotoma";37,81;-8,83;"Marinespeed"
"Dictyota dichotoma";39,89;3,18;"Marinespeed"
"Dictyota dichotoma";36,45833333;-5,125;"Marinespeed"
"Dictyota dichotoma";51,39347;1,38778;"Marinespeed"
"Dictyota dichotoma";56,54693;-5,48093;"Marinespeed"
"Dictyota dichotoma";56,5158;-5,62609;"Marinespeed"
"Dictyota dichotoma";55,95821;-5,97771;"Marinespeed"
"Dictyota dichotoma";58,05546;-7,06374;"Marinespeed"
"Dictyota dichotoma";58,03094;-7,04669;"Marinespeed"
"Dictyota dichotoma";56,875;-5,791666667;"Marinespeed"
"Dictyota dichotoma";57,55952;-7,13351;"Marinespeed"
"Dictyota dichotoma";57,13981;-7,25057;"Marinespeed"
"Dictyota dichotoma";57,72729;-5,79871;"Marinespeed"
"Dictyota dichotoma";57,86039;-6,70876;"Marinespeed"
"Dictyota dichotoma";58,05584;7,05341;"Marinespeed"
"Dictyota dichotoma";54,0621;-4,79885;"Marinespeed"
"Dictyota dichotoma";51,8656;-5,33018;"Marinespeed"
"Dictyota dichotoma";51,19958;-4,20376;"Marinespeed"
"Dictyota dichotoma";51,23237;-3,8701;"Marinespeed"
"Dictyota dichotoma";51,2113;-4,05397;"Marinespeed"
"Dictyota dichotoma";55,98979;-5,65525;"Marinespeed"
"Dictyota dichotoma";51,18646;-4,66115;"Marinespeed"
"Dictyota dichotoma";53,20833333;-4,125;"Marinespeed"
"Dictyota dichotoma";57,14272;-5,61944;"Marinespeed"
"Dictyota dichotoma";50,6924;-2,0715;"Marinespeed"
"Dictyota dichotoma";50,67621;-1,93135;"Marinespeed"
"Dictyota dichotoma";50,15344;-5,04021;"Marinespeed"
"Dictyota dichotoma";50,12868;-5,70627;"Marinespeed"
"Dictyota dichotoma";57,28241;-5,73112;"Marinespeed"
"Dictyota dichotoma";50,45466;-3,54197;"Marinespeed"
"Dictyota dichotoma";50,58025;-4,92069;"Marinespeed"
"Dictyota dichotoma";60,19953;-1,55534;"Marinespeed"
"Dictyota dichotoma";60,83909;-0,83997;"Marinespeed"
"Dictyota dichotoma";50,42478;-3,55649;"Marinespeed"
"Dictyota dichotoma";60,13382;-2,04411;"Marinespeed"
"Dictyota dichotoma";56,97985;-6,67922;"Marinespeed"
"Dictyota dichotoma";55,87861;-2,08232;"Marinespeed"
"Dictyota dichotoma";59,18463;-2,95996;"Marinespeed"
"Dictyota dichotoma";50,04077;-5,04845;"Marinespeed"
"Dictyota dichotoma";49,99805;-5,13229;"Marinespeed"
"Dictyota dichotoma";51,46047;-9,43829;"Marinespeed"
"Dictyota dichotoma";50,3442;-3,52855;"Marinespeed"
"Dictyota dichotoma";50,20743;-4,34135;"Marinespeed"
"Dictyota dichotoma";50,685;-3,1446;"Marinespeed"
"Dictyota dichotoma";50,65753;-3,27835;"Marinespeed"
"Dictyota dichotoma";55,68519;-1,75266;"Marinespeed"
"Dictyota dichotoma";49,90413;-6,2937;"Marinespeed"
"Dictyota dichotoma";51,76994;1,0433;"Marinespeed"
"Dictyota dichotoma";50,72177;-2,84088;"Marinespeed"
"Dictyota dichotoma";58,96036;-3,33454;"Marinespeed"
"Dictyota dichotoma";51,87874;-5,3108;"Marinespeed"
"Dictyota dichotoma";49,95764;-5,19521;"Marinespeed"
"Dictyota dichotoma";51,72665;-5,67024;"Marinespeed"
"Dictyota dichotoma";53,384;-4,2503;"Marinespeed"
"Dictyota dichotoma";56,84352;-7,62608;"Marinespeed"
"Dictyota dichotoma";57,05261;-7,29107;"Marinespeed"
"Dictyota dichotoma";51,65251;-9,78976;"Marinespeed"
"Dictyota dichotoma";57,01209;-7,41729;"Marinespeed"
"Dictyota dichotoma";56,75972;-6,19154;"Marinespeed"
"Dictyota dichotoma";53,39822;-4,57001;"Marinespeed"
"Dictyota dichotoma";50,72652;-2,92598;"Marinespeed"
"Dictyota dichotoma";42,1058;3,1738;"Marinespeed"
"Dictyota dichotoma";37,209;-7,202;"Marinespeed"
"Dictyota dichotoma";58,20833333;8,375;"Marinespeed"
"Dictyota dichotoma";55,00203;-5,08295;"Marinespeed"
"Dictyota dichotoma";40,63;-8,73;"Marinespeed"
"Dictyota dichotoma";56,68;8,37;"Marinespeed"
"Dictyota dichotoma";54,25436;-9,88921;"Marinespeed"
"Dictyota dichotoma";54,12268;-10,19604;"Marinespeed"
"Dictyota dichotoma";53,1391;-9,84521;"Marinespeed"
"Dictyota dichotoma";55,25698;-7,75752;"Marinespeed"
"Dictyota dichotoma";51,5041;-9,55078;"Marinespeed"
"Dictyota dichotoma";52,44996;-9,7871;"Marinespeed"
"Dictyota dichotoma";52,10907;-6,94519;"Marinespeed"
"Dictyota dichotoma";52,31605;-10,06593;"Marinespeed"
"Dictyota dichotoma";53,38382;-9,8396;"Marinespeed"
"Dictyota dichotoma";54,28572;-9,05906;"Marinespeed"
"Dictyota dichotoma";55,25462;-8,26079;"Marinespeed"
"Dictyota dichotoma";52,06149;-10,60188;"Marinespeed"
"Dictyota dichotoma";52,08005;-7,56615;"Marinespeed"
"Dictyota dichotoma";51,7634;-9,87157;"Marinespeed"
"Dictyota dichotoma";52,25118;-10,31725;"Marinespeed"
"Dictyota dichotoma";55,21082;-7,94038;"Marinespeed"
"Dictyota dichotoma";54,65988;-8,8257;"Marinespeed"
"Dictyota dichotoma";55,29521;-6,22322;"Marinespeed"
"Dictyota dichotoma";54,90177;-5,84141;"Marinespeed"
"Dictyota dichotoma";54,84821;-5,71345;"Marinespeed"
"Dictyota dichotoma";55,10088;-6,03127;"Marinespeed"
"Dictyota dichotoma";54,69944;-5,50615;"Marinespeed"
"Dictyota dichotoma";55,29192;-6,24383;"Marinespeed"
"Dictyota dichotoma";54,25413;-5,61753;"Marinespeed"
"Dictyota dichotoma";55,01546;-5,97291;"Marinespeed"
"Dictyota dichotoma";54,45289;-5,6245;"Marinespeed"
"Dictyota dichotoma";51,6423;-4,82366;"Marinespeed"
"Dictyota dichotoma";50,8144;-4,62644;"Marinespeed"
"Dictyota dichotoma";50,7066;-4,6792;"Marinespeed"
"Dictyota dichotoma";51,5496;-4,14707;"Marinespeed"
"Dictyota dichotoma";51,63712;-3,95102;"Marinespeed"
"Dictyota dichotoma";51,19212;-3,6459;"Marinespeed"
"Dictyota dichotoma";53,4129;-4,29096;"Marinespeed"
"Dictyota dichotoma";54,2405;-4,36268;"Marinespeed"
"Dictyota dichotoma";50,60779;-2,14487;"Marinespeed"
"Dictyota dichotoma";50,79166667;-1,458333333;"Marinespeed"
"Dictyota dichotoma";51,39141;1,44299;"Marinespeed"
"Dictyota dichotoma";51,47145;-9,22344;"Marinespeed"
"Dictyota dichotoma";52,27476;-6,31496;"Marinespeed"
"Dictyota dichotoma";54,86864;-4,25978;"Marinespeed"
"Dictyota dichotoma";50,01541;-5,08873;"Marinespeed"
"Dictyota dichotoma";50,00455;-5,15784;"Marinespeed"
"Dictyota dichotoma";56,53312;-5,98496;"Marinespeed"
"Dictyota dichotoma";52,02607;-5,05192;"Marinespeed"
"Dictyota dichotoma";54,14025;-10,07746;"Marinespeed"
"Dictyota dichotoma";54,3019;-9,86433;"Marinespeed"
"Dictyota dichotoma";54,04049;-6,14128;"Marinespeed"
"Dictyota dichotoma";51,45833333;-9,291666667;"Marinespeed"
"Dictyota dichotoma";51,94353;-7,7084;"Marinespeed"
"Dictyota dichotoma";51,84211;-10,39958;"Marinespeed"
"Dictyota dichotoma";51,59486;-10,01844;"Marinespeed"
"Dictyota dichotoma";55,43785;-7,24394;"Marinespeed"
"Dictyota dichotoma";52,13286;-10,35894;"Marinespeed"
"Dictyota dichotoma";53,15627;-9,03533;"Marinespeed"
"Dictyota dichotoma";54,76934;-4,02878;"Marinespeed"
"Dictyota dichotoma";51,47039;-9,50769;"Marinespeed"
"Dictyota dichotoma";55,31462;-7,37545;"Marinespeed"
"Dictyota dichotoma";52,17499;-6,58921;"Marinespeed"
"Dictyota dichotoma";55,16634;-7,72537;"Marinespeed"
"Dictyota dichotoma";53,61621;-6,16376;"Marinespeed"
"Dictyota dichotoma";53,15795;-9,09891;"Marinespeed"
"Dictyota dichotoma";54,28201;-9,05875;"Marinespeed"
"Dictyota dichotoma";53,46627;-10,07452;"Marinespeed"
"Dictyota dichotoma";51,43576;-9,47347;"Marinespeed"
"Dictyota dichotoma";50,7478;-0,79504;"Marinespeed"
"Dictyota dichotoma";51,54323;-9,10067;"Marinespeed"
"Dictyota dichotoma";51,72522;-10,26454;"Marinespeed"
"Dictyota dichotoma";51,94875;-5,15292;"Marinespeed"
"Dictyota dichotoma";52,20171;-6,20727;"Marinespeed"
"Dictyota dichotoma";55,03868;-5,96337;"Marinespeed"
"Dictyota dichotoma";54,23181;-5,75945;"Marinespeed"
"Dictyota dichotoma";54,69092;-5,52637;"Marinespeed"
"Dictyota dichotoma";54,35863;-5,53562;"Marinespeed"
"Dictyota dichotoma";51,69191;-9,51267;"Marinespeed"
"Dictyota dichotoma";51,52513;-8,96248;"Marinespeed"
"Dictyota dichotoma";54,61846;-8,62225;"Marinespeed"
"Dictyota dichotoma";54,60176;-8,28623;"Marinespeed"
"Dictyota dichotoma";53,60176;-10,29464;"Marinespeed"
"Dictyota dichotoma";53,54207;-10,26727;"Marinespeed"
"Dictyota dichotoma";55,29898;-7,8016;"Marinespeed"
"Dictyota dichotoma";50,12;-5,54;"Marinespeed"
"Dictyota dichotoma";50,625;-3,291666667;"Marinespeed"
"Dictyota dichotoma";50,60477;-2,44574;"Marinespeed"
"Dictyota dichotoma";50,15288;-5,06662;"Marinespeed"
"Dictyota dichotoma";51,76667;-9,83334;"Marinespeed"
"Dictyota dichotoma";38,58625;-0,07254;"Marinespeed"
"Dictyota dichotoma";38,32672;-0,54051;"Marinespeed"
"Dictyota dichotoma";38,4143;-0,42303;"Marinespeed"
"Dictyota dichotoma";38,32427;-0,42622;"Marinespeed"
"Dictyota dichotoma";38,85908;0,1766;"Marinespeed"
"Dictyota dichotoma";36,5053;-6,3248;"Marinespeed"
"Dictyota dichotoma";58,53007;-4,61859;"Marinespeed"
"Dictyota dichotoma";57,21461;-7,26951;"Marinespeed"
"Dictyota dichotoma";57,96365;-5,4566;"Marinespeed"
"Dictyota dichotoma";49,94084;-6,39458;"Marinespeed"
"Dictyota dichotoma";50,32958;-4,64388;"Marinespeed"
"Dictyota dichotoma";50,41114;-5,12708;"Marinespeed"
"Dictyota dichotoma";50,52964;-2,45506;"Marinespeed"
"Dictyota dichotoma";54,24512;-0,34624;"Marinespeed"
"Dictyota dichotoma";55,55274;-1,61557;"Marinespeed"
"Dictyota dichotoma";55,62913;-1,61958;"Marinespeed"
"Dictyota dichotoma";56,82816;-6,2156;"Marinespeed"
"Dictyota dichotoma";52,80533;-4,62393;"Marinespeed"
"Dictyota dichotoma";50,61311;-2,19436;"Marinespeed"
"Dictyota dichotoma";55,24312;-6,35292;"Marinespeed"
"Dictyota dichotoma";54,04254;-6,09996;"Marinespeed"
"Dictyota dichotoma";58,03658;-7,15268;"Marinespeed"
"Dictyota dichotoma";58,89997;-2,66218;"Marinespeed"
"Dictyota dichotoma";56,87035;-6,16452;"Marinespeed"
"Dictyota dichotoma";58,23743;-7,01293;"Marinespeed"
"Dictyota dichotoma";55,93415;-2,22011;"Marinespeed"
"Dictyota dichotoma";52,86206;-4,31829;"Marinespeed"
"Dictyota dichotoma";52,93252;-4,60631;"Marinespeed"
"Dictyota dichotoma";50,24999;-3,64338;"Marinespeed"
"Dictyota dichotoma";50,32619;-4,15467;"Marinespeed"
"Dictyota dichotoma";56,69079;-6,49118;"Marinespeed"
"Dictyota dichotoma";56,68847;-6,50562;"Marinespeed"
"Dictyota dichotoma";52,78339;-4,51581;"Marinespeed"
"Dictyota dichotoma";53,31991;-4,11629;"Marinespeed"
"Dictyota dichotoma";58,41271;-5,12367;"Marinespeed"
"Dictyota dichotoma";57,78957;-5,82041;"Marinespeed"
"Dictyota dichotoma";58,42736;-6,50313;"Marinespeed"
"Dictyota dichotoma";56,40533;-7,08057;"Marinespeed"
"Dictyota dichotoma";52,94407;-4,65316;"Marinespeed"
"Dictyota dichotoma";53,32265;-4,65407;"Marinespeed"
"Dictyota dichotoma";51,68884;-5,15074;"Marinespeed"
"Dictyota dichotoma";52,11504;-4,72489;"Marinespeed"
"Dictyota dichotoma";56,85356;-5,75885;"Marinespeed"
"Dictyota dichotoma";58,40244;-5,10221;"Marinespeed"
"Dictyota dichotoma";56,18386;-2,54378;"Marinespeed"
"Dictyota dichotoma";57,62208;-7,14403;"Marinespeed"
"Dictyota dichotoma";51,81368;-9,79593;"Marinespeed"
"Dictyota dichotoma";55,23681;-7,85108;"Marinespeed"
"Dictyota dichotoma";38,1442;-0,43256;"Marinespeed"
"Dictyota dichotoma";37,96887;-0,66632;"Marinespeed"
"Dictyota dichotoma";39,49185;-0,26742;"Marinespeed"
"Dictyota dichotoma";51,54755;-4,1852;"Marinespeed"
"Dictyota dichotoma";51,6402;-4,70282;"Marinespeed"
"Dictyota dichotoma";53,16959;-4,45306;"Marinespeed"
"Dictyota dichotoma";53,18662;-4,49894;"Marinespeed"
"Dictyota dichotoma";53,23522;-4,53924;"Marinespeed"
"Dictyota dichotoma";51,61843;-5,04109;"Marinespeed"
"Dictyota dichotoma";52,38994;-4,10164;"Marinespeed"
"Dictyota dichotoma";53,13486;-4,41444;"Marinespeed"
"Dictyota dichotoma";53,33266;-4,6284;"Marinespeed"
"Dictyota dichotoma";53,27877;-4,6251;"Marinespeed"
"Dictyota dichotoma";51,55517;-4,2577;"Marinespeed"
"Dictyota dichotoma";51,70239;-5,14878;"Marinespeed"
"Dictyota dichotoma";51,68116;-5,16901;"Marinespeed"
"Dictyota dichotoma";61,57;4,85;"Marinespeed"
"Dictyota dichotoma";56,6;8,25;"Marinespeed"
"Dictyota dichotoma";56,68;8,33;"Marinespeed"
"Dictyota dichotoma";50,65926;-3,0612;"Marinespeed"
"Dictyota dichotoma";51,83736;-8,07255;"Marinespeed"
"Dictyota dichotoma";51,07345;1,06946;"Marinespeed"
"Dictyota dichotoma";50,05645;-5,55605;"Marinespeed"
"Dictyota dichotoma";50,05253;-5,27697;"Marinespeed"
"Dictyota dichotoma";56,94907;-6,28358;"Marinespeed"
"Dictyota dichotoma";56,45811;-5,48985;"Marinespeed"
"Dictyota dichotoma";57,06021;-6,32116;"Marinespeed"
"Dictyota dichotoma";57,13882;-6,06895;"Marinespeed"
"Dictyota dichotoma";60,10301;-1,3435;"Marinespeed"
"Dictyota dichotoma";49,92277;-6,31278;"Marinespeed"
"Dictyota dichotoma";52,83015;-9,45344;"Marinespeed"
"Dictyota dichotoma";54,29464;-8,9454;"Marinespeed"
"Dictyota dichotoma";52,15692;-6,61974;"Marinespeed"
"Dictyota dichotoma";54,31119;-9,44982;"Marinespeed"
"Dictyota dichotoma";56,31837;-5,58144;"Marinespeed"
"Dictyota dichotoma";50,37112;-4,32056;"Marinespeed"
"Dictyota dichotoma";53,13254;-9,8163;"Marinespeed"
"Dictyota dichotoma";51,57028;-8,74791;"Marinespeed"
"Dictyota dichotoma";54,38768;-5,59902;"Marinespeed"
"Dictyota dichotoma";50,22333;-3,77356;"Marinespeed"
"Dictyota dichotoma";53,25613;-8,97128;"Marinespeed"
"Dictyota dichotoma";53,18045;-9,12251;"Marinespeed"
"Dictyota dichotoma";54,61717;-8,61217;"Marinespeed"
"Dictyota dichotoma";53,24592;-9,31148;"Marinespeed"
"Dictyota dichotoma";55,3055;-6,19068;"Marinespeed"
"Dictyota dichotoma";53,12465;-9,76118;"Marinespeed"
"Dictyota dichotoma";54,57205;-5,47016;"Marinespeed"
"Dictyota dichotoma";55,43408;-7,22117;"Marinespeed"
"Dictyota dichotoma";53,78772;-6,20278;"Marinespeed"
"Dictyota dichotoma";52,31156;-10,02642;"Marinespeed"
"Dictyota dichotoma";54,97754;-8,47786;"Marinespeed"
"Dictyota dichotoma";55,26486;-8,19187;"Marinespeed"
"Dictyota dichotoma";55,18932;-7,76133;"Marinespeed"
"Dictyota dichotoma";54,27591;-9,92507;"Marinespeed"
"Dictyota dichotoma";52,10605;-6,61785;"Marinespeed"
"Dictyota dichotoma";52,07958;-6,66097;"Marinespeed"
"Dictyota dichotoma";54,00091;-6,01745;"Marinespeed"
"Dictyota dichotoma";55,22901;-7,98815;"Marinespeed"
"Dictyota dichotoma";52,75589;-9,52107;"Marinespeed"
"Dictyota dichotoma";52,16853;-6,40172;"Marinespeed"
"Dictyota dichotoma";51,62544;-9,92469;"Marinespeed"
"Dictyota dichotoma";53,25573;-9,9949;"Marinespeed"
"Dictyota dichotoma";51,71456;-10,03553;"Marinespeed"
"Dictyota dichotoma";52,56051;-9,66676;"Marinespeed"
"Dictyota dichotoma";54,36513;-9,7889;"Marinespeed"
"Dictyota dichotoma";55,22601;-7,9814;"Marinespeed"
"Dictyota dichotoma";55,38568;-7,31207;"Marinespeed"
"Dictyota dichotoma";55,20506;-6,08426;"Marinespeed"
"Dictyota dichotoma";54,68036;-5,62985;"Marinespeed"
"Dictyota dichotoma";54,84424;-5,78998;"Marinespeed"
"Dictyota dichotoma";54,6674;-5,70347;"Marinespeed"
"Dictyota dichotoma";55,23863;-6,42071;"Marinespeed"
"Dictyota dichotoma";55,14712;-7,15847;"Marinespeed"
"Dictyota dichotoma";50,75479;-1,25353;"Marinespeed"
"Dictyota dichotoma";54,73182;-4,95672;"Marinespeed"
"Dictyota dichotoma";37,04166667;-8,291666667;"Marinespeed"
"Dictyota dichotoma";54,72421;-4,36124;"Marinespeed"
"Dictyota dichotoma";57,92863;-6,6636;"Marinespeed"
"Dictyota dichotoma";57,32991;-6,50417;"Marinespeed"
"Dictyota dichotoma";56,47378;-5,55546;"Marinespeed"
"Dictyota dichotoma";56,65838;-5,96308;"Marinespeed"
"Dictyota dichotoma";56,64322;-5,87335;"Marinespeed"
"Dictyota dichotoma";56,32346;-5,88942;"Marinespeed"
"Dictyota dichotoma";57,87635;-5,65241;"Marinespeed"
"Dictyota dichotoma";57,6402;-7,18519;"Marinespeed"
"Dictyota dichotoma";57,14901;-7,30983;"Marinespeed"
"Dictyota dichotoma";57,4453;-7,21927;"Marinespeed"
"Dictyota dichotoma";57,58834;-5,81433;"Marinespeed"
"Dictyota dichotoma";55,93527;-5,67414;"Marinespeed"
"Dictyota dichotoma";51,73181;-5,47679;"Marinespeed"
"Dictyota dichotoma";51,70213;-5,09086;"Marinespeed"
"Dictyota dichotoma";55,95348;-5,6967;"Marinespeed"
"Dictyota dichotoma";52,79274;-4,54157;"Marinespeed"
"Dictyota dichotoma";52,76189;-4,79329;"Marinespeed"
"Dictyota dichotoma";50,16912;-5,0258;"Marinespeed"
"Dictyota dichotoma";50,22786;-5,01549;"Marinespeed"
"Dictyota dichotoma";52,76628;-4,79801;"Marinespeed"
"Dictyota dichotoma";50,16079;-5,00007;"Marinespeed"
"Dictyota dichotoma";50,11606;-5,47441;"Marinespeed"
"Dictyota dichotoma";50,22251;-3,67748;"Marinespeed"
"Dictyota dichotoma";50,64034;-3,28779;"Marinespeed"
"Dictyota dichotoma";50,72432;-1,43254;"Marinespeed"
"Dictyota dichotoma";50,29648;-4,05643;"Marinespeed"
"Dictyota dichotoma";50,21236;-3,69535;"Marinespeed"
"Dictyota dichotoma";60,2682;-1,10429;"Marinespeed"
"Dictyota dichotoma";52,97058;0,97656;"Marinespeed"
"Dictyota dichotoma";56,01669;-5,59679;"Marinespeed"
"Dictyota dichotoma";53,28183;-4,66955;"Marinespeed"
"Dictyota dichotoma";49,87516;-6,39418;"Marinespeed"
"Dictyota dichotoma";50,33624;-3,51846;"Marinespeed"
"Dictyota dichotoma";58,92189;-3,40428;"Marinespeed"
"Dictyota dichotoma";59,12721;-2,95137;"Marinespeed"
"Dictyota dichotoma";50,52541;-5,02456;"Marinespeed"
"Dictyota dichotoma";56,66404;-6,0388;"Marinespeed"
"Dictyota dichotoma";53,22778;-4,55079;"Marinespeed"
"Dictyota dichotoma";53,32166;-4,01576;"Marinespeed"
"Dictyota dichotoma";57,83393;-8,64289;"Marinespeed"
"Dictyota dichotoma";56,65564;-6,15711;"Marinespeed"
"Dictyota dichotoma";50,2129;-4,78603;"Marinespeed"
"Dictyota dichotoma";36,5091;-4,6388;"Marinespeed"
"Dictyota dichotoma";43,5481;13,6281;"Marinespeed"
"Dictyota dichotoma";39,35;-0,32;"Marinespeed"
"Dictyota dichotoma";50,76;1,6;"Marinespeed"
"Dictyota dichotoma";58,24474;-5,34259;"Marinespeed"
"Dictyota dichotoma";39,1114;2,9431;"Marinespeed"
"Dictyota dichotoma";53,76143;-9,99978;"Marinespeed"
"Dictyota dichotoma";55,21527;-6,57808;"Marinespeed"
"Dictyota dichotoma";47,75897;-4,28488;"Marinespeed"
"Dictyota dichotoma";52,94885;-4,55816;"Marinespeed"
"Dictyota dichotoma";51,60822;-5,00068;"Marinespeed"
"Dictyota dichotoma";54,5851;-8,42462;"Marinespeed"
"Dictyota dichotoma";51,65959;-4,66131;"Marinespeed"
"Dictyota dichotoma";55,23708;-7,84987;"Marinespeed"
"Dictyota dichotoma";58,19056;-7,08299;"Marinespeed"
"Dictyota dichotoma";56,49988;-5,67822;"Marinespeed"
"Dictyota dichotoma";55,9297;-2,19928;"Marinespeed"
"Dictyota dichotoma";55,45833333;-1,541666667;"Marinespeed"
"Dictyota dichotoma";52,94632;1,25036;"Marinespeed"
"Dictyota dichotoma";52,96577;1,05965;"Marinespeed"
"Dictyota dichotoma";53,41044;-4,50302;"Marinespeed"
"Dictyota dichotoma";52,83888;-4,73139;"Marinespeed"
"Dictyota dichotoma";52,90281;-4,25651;"Marinespeed"
"Dictyota dichotoma";59,31423;-2,62103;"Marinespeed"
"Dictyota dichotoma";56,66689;-5,92151;"Marinespeed"
"Dictyota dichotoma";57,08785;-7,26635;"Marinespeed"
"Dictyota dichotoma";56,19366;-2,56165;"Marinespeed"
"Dictyota dichotoma";57,61326;-7,11762;"Marinespeed"
"Dictyota dichotoma";57,9009;-5,38303;"Marinespeed"
"Dictyota dichotoma";56,55788;-5,4103;"Marinespeed"
"Dictyota dichotoma";57,0715;-6,48597;"Marinespeed"
